race_id,date,venue,race_number,formation,first_numbers,second_numbers,third_numbers,decision,ticket_count,estimated_hit_rate,confidence,actual_hit,hit_ticket,stake_units,return_units,profit_units,first_back_max,first_chigire_max,first_p1_max,time_band,field_size,race_class_scope,prediction_gate_profile
20250527-21-09,2025-05-27,弥彦,9,145-14-1247,145,14,1247,BUY,10,0.150592995493,B,False,1-7-5,10.0,0.0,-10.0,14.0,0.406,0.297182550412,day,7,s,line_break_back_chigire_all
20250527-37-04,2025-05-27,伊東,4,127-17-1247,127,17,1247,BUY,8,0.142179841683,B,False,1-5-4,8.0,0.0,-8.0,19.0,0.3575,0.42530835339,day,7,non_s,line_break_back_chigire_all
20250527-37-11,2025-05-27,伊東,11,147-14-1247,147,14,1247,BUY,8,0.141437195387,B,True,4-1-7,8.0,18.3,10.3,10.0,0.347,0.298076556528,day,7,s,line_break_back_chigire_all
20250527-63-02,2025-05-27,防府,2,134-13-1345,134,13,1345,BUY,8,0.139013575367,B,False,7-2-3,8.0,0.0,-8.0,18.0,0.4703,0.275175115158,day,7,non_s,line_break_back_chigire_all
20250528-21-06,2025-05-28,弥彦,6,127-17-1347,127,17,1347,BUY,10,0.141130643507,B,True,2-1-7,10.0,73.3,63.3,18.0,0.4078,0.279601467955,day,7,s,line_break_back_chigire_all
20250528-37-06,2025-05-28,伊東,6,234-24-1247,234,24,1247,BUY,10,0.146502322401,B,False,5-4-1,10.0,0.0,-10.0,15.0,0.566,0.347372330868,day,7,s,line_break_back_chigire_all
20250528-45-03,2025-05-28,豊橋,3,127-17-1237,127,17,1237,BUY,8,0.170414020278,B,True,7-1-2,8.0,8.7,0.6999999999999993,22.0,0.4118,0.408108053747,day,7,non_s,line_break_back_chigire_all
20250528-45-04,2025-05-28,豊橋,4,357-57-2457,357,57,2457,BUY,10,0.140190300568,B,False,7-5-3,10.0,0.0,-10.0,10.0,0.3785,0.349923946324,day,7,non_s,line_break_back_chigire_all
20250528-45-09,2025-05-28,豊橋,9,147-12-1247,147,12,1247,BUY,10,0.149639337085,B,False,4-7-2,10.0,0.0,-10.0,15.0,0.4392,0.385073730441,day,7,s,line_break_back_chigire_all
20250528-81-01,2025-05-28,小倉,1,247-24-2345,247,24,2345,BUY,10,0.138134507715,B,False,4-2-7,10.0,0.0,-10.0,14.0,0.3558,0.357267237741,day,7,non_s,line_break_back_chigire_all
