race_id,date,venue,race_number,formation,first_numbers,second_numbers,third_numbers,decision,ticket_count,estimated_hit_rate,confidence,actual_hit,hit_ticket,stake_units,return_units,profit_units,first_back_max,first_chigire_max,first_p1_max,time_band,field_size,race_class_scope
20250527-21-09,2025-05-27,弥彦,9,145-14-1247,145,14,1247,BUY,10,0.150592995493,B,False,1-7-5,10.0,0.0,-10.0,14,0.406,0.297182550412,day,7,s
20250527-37-11,2025-05-27,伊東,11,147-14-1247,147,14,1247,BUY,8,0.141437195387,B,True,4-1-7,8.0,18.3,10.3,10,0.347,0.298076556528,day,7,s
20250528-21-06,2025-05-28,弥彦,6,127-17-1347,127,17,1347,BUY,10,0.141130643507,B,True,2-1-7,10.0,73.3,63.3,18,0.4078,0.279601467955,day,7,s
20250528-37-06,2025-05-28,伊東,6,234-24-1247,234,24,1247,BUY,10,0.146502322401,B,False,5-4-1,10.0,0.0,-10.0,15,0.566,0.347372330868,day,7,s
20250528-45-09,2025-05-28,豊橋,9,147-12-1247,147,12,1247,BUY,10,0.149639337085,B,False,4-7-2,10.0,0.0,-10.0,15,0.4392,0.385073730441,day,7,s
20250529-21-05,2025-05-29,弥彦,5,145-15-1345,145,15,1345,BUY,8,0.146250156615,B,True,1-5-3,8.0,4.4,-3.6,17,0.3317,0.269787576907,day,6,s
20250529-21-07,2025-05-29,弥彦,7,257-25-1257,257,25,1257,BUY,8,0.143030507384,B,False,2-7-1,8.0,0.0,-8.0,8,0.5228,0.266386622812,day,7,s
20250529-21-09,2025-05-29,弥彦,9,127-27-2347,127,27,2347,BUY,10,0.144465115505,B,False,7-6-1,10.0,0.0,-10.0,9,0.4047,0.290876320544,day,7,s
20250529-45-09,2025-05-29,豊橋,9,247-23-2347,247,23,2347,BUY,10,0.140911012659,B,True,7-2-3,10.0,6.7,-3.3,15,0.5123,0.293724026451,day,7,s
20250529-71-10,2025-05-29,高松,10,125-15-1457,125,15,1457,BUY,10,0.140213189635,B,True,5-1-7,10.0,4.8,-5.2,15,0.4462,0.309672362314,day,7,s
20250531-48-07,2025-05-31,四日市,7,134-13-1357,134,13,1357,BUY,10,0.138981752041,B,True,1-3-5,10.0,64.1,54.1,12,0.4065,0.306811986075,day,7,s
20250531-48-08,2025-05-31,四日市,8,125-15-1257,125,15,1257,BUY,8,0.143346328996,B,True,2-5-1,8.0,42.8,34.8,10,0.455,0.295327094695,day,7,s
20250531-48-10,2025-05-31,四日市,10,245-25-1257,245,25,1257,BUY,10,0.144710384167,B,True,2-5-7,10.0,2.4,-7.6,12,0.375,0.310852422767,day,7,s
20250531-48-11,2025-05-31,四日市,11,125-15-1345,125,15,1345,BUY,10,0.156229492989,B,True,1-5-4,10.0,5.0,-5.0,16,0.5105,0.307102674284,day,7,s
20250602-51-11,2025-06-02,福井,11,134-45-1345,134,45,1345,BUY,10,0.171305814669,B,True,1-4-3,10.0,6.8,-3.2,12,0.4983,0.313410379419,day,7,s
20250603-11-06,2025-06-03,函館,6,135-13-1235,135,13,1235,BUY,8,0.194732317188,A,True,5-3-1,8.0,40.0,32.0,10,0.3055,0.263192450231,day,5,s
20250603-51-06,2025-06-03,福井,6,124-24-1234,124,24,1234,BUY,8,0.158940306559,B,False,2-4-5,8.0,0.0,-8.0,16,0.4983,0.265209463247,day,6,s
20250606-44-06,2025-06-06,大垣,6,147-14-1345,147,14,1345,BUY,10,0.138455471486,B,False,1-7-4,10.0,0.0,-10.0,13,0.3855,0.267446682874,day,7,s
20250606-44-11,2025-06-06,大垣,11,245-45-2457,245,45,2457,BUY,8,0.156216295829,B,True,2-4-5,8.0,2.7,-5.3,13,0.3558,0.268519441192,day,7,s
20250607-44-06,2025-06-07,大垣,6,124-12-1234,124,12,1234,BUY,8,0.15234928992,B,True,2-1-3,8.0,13.9,5.9,11,0.549,0.3319441869,day,6,s
20250609-24-07,2025-06-09,宇都宮,7,457-47-2347,457,47,2347,BUY,10,0.144685153201,B,False,4-3-7,10.0,0.0,-10.0,12,0.3785,0.286715757578,day,7,s
20250609-24-09,2025-06-09,宇都宮,9,247-27-1247,247,27,1247,BUY,8,0.143986994549,B,False,4-2-3,8.0,0.0,-8.0,14,0.347,0.289969735272,day,7,s
20250609-53-09,2025-06-09,奈良,9,345-35-2345,345,35,2345,BUY,8,0.172219525525,B,False,5-2-3,8.0,0.0,-8.0,12,0.3213,0.324052081209,day,6,s
20250610-61-11,2025-06-10,玉野,11,257-27-1257,257,27,1257,BUY,8,0.149618545737,B,True,7-2-1,8.0,5.8,-2.2,12,0.3715,0.344844172019,day,7,s
20250611-24-05,2025-06-11,宇都宮,5,235-35-1345,235,35,1345,BUY,10,0.158371572891,B,False,3-2-5,10.0,0.0,-10.0,12,0.4948,0.334866422845,day,6,s
20250611-24-06,2025-06-11,宇都宮,6,136-13-1345,136,13,1345,BUY,10,0.162899622473,B,False,1-5-6,10.0,0.0,-10.0,9,0.559,0.298670782451,day,6,s
20250617-31-06,2025-06-17,松戸,6,124-24-2457,124,24,2457,BUY,10,0.158472353728,B,False,2-7-4,10.0,0.0,-10.0,10,0.5345,0.307397141667,day,7,s
20250618-31-10,2025-06-18,松戸,10,137-37-2357,137,37,2357,BUY,10,0.150311496695,B,False,1-5-2,10.0,0.0,-10.0,14,0.5052,0.27585057651,day,7,s
20250618-81-07,2025-06-18,小倉,7,357-37-1237,357,37,1237,BUY,10,0.138754380268,B,False,3-7-5,10.0,0.0,-10.0,11,0.4965,0.285348980285,day,7,s
20250620-22-06,2025-06-20,前橋,6,237-27-2457,237,27,2457,BUY,10,0.151889637365,B,False,1-3-7,10.0,0.0,-10.0,12,0.389,0.278149095839,day,7,s
20250620-22-07,2025-06-20,前橋,7,124-24-2457,124,24,2457,BUY,10,0.152190101869,B,False,4-5-1,10.0,0.0,-10.0,16,0.403,0.274403401315,day,7,s
20250620-22-09,2025-06-20,前橋,9,124-14-1345,124,14,1345,BUY,10,0.149814145091,B,False,4-2-1,10.0,0.0,-10.0,19,0.4095,0.302759607496,day,7,s
20250620-81-07,2025-06-20,小倉,7,345-35-1345,345,35,1345,BUY,8,0.139443004302,B,True,4-5-3,8.0,22.4,14.4,9,0.528,0.306862131991,day,7,s
20250620-81-10,2025-06-20,小倉,10,137-17-1257,137,17,1257,BUY,10,0.150137086192,B,False,1-7-3,10.0,0.0,-10.0,13,0.257,0.321961310994,day,7,s
20250621-22-12,2025-06-21,前橋,12,127-17-1457,127,17,1457,BUY,10,0.142219958759,B,False,3-4-1,10.0,0.0,-10.0,14,0.396,0.34583571895,day,7,s
20250621-35-10,2025-06-21,平塚,10,137-17-1357,137,17,1357,BUY,8,0.159185319506,B,False,7-3-5,8.0,0.0,-8.0,10,0.3003,0.262590773136,day,7,s
20250622-35-09,2025-06-22,平塚,9,257-27-2357,257,27,2357,BUY,8,0.145645339988,B,True,2-7-5,8.0,13.9,5.9,13,0.4375,0.2569246548,day,7,s
20250624-46-07,2025-06-24,富山,7,157-15-1245,157,15,1245,BUY,10,0.138899285221,B,False,1-4-3,10.0,0.0,-10.0,8,0.479,0.258066173045,day,7,s
20250624-74-07,2025-06-24,高知,7,234-24-2345,234,24,2345,BUY,8,0.164304644659,B,True,4-2-5,8.0,4.9,-3.1,12,0.4913,0.259002200377,day,6,s
20250625-46-06,2025-06-25,富山,6,126-16-1256,126,16,1256,BUY,8,0.175047536147,B,True,1-6-5,8.0,22.6,14.6,12,0.559,0.285667271432,day,6,s
20250625-87-11,2025-06-25,熊本,11,145-14-1234,145,14,1234,BUY,10,0.14496409599,B,True,4-1-2,10.0,3.4,-6.6,11,0.3387,0.312929052667,day,7,s
20250626-22-07,2025-06-26,前橋,7,127-27-2347,127,27,2347,BUY,10,0.175268878836,B,False,2-7-5,10.0,0.0,-10.0,13,0.5175,0.316554090184,day,7,s
20250626-22-11,2025-06-26,前橋,11,134-14-1247,134,14,1247,BUY,10,0.156458882724,B,False,1-5-4,10.0,0.0,-10.0,8,0.573,0.363939154851,day,7,s
20250627-61-07,2025-06-27,玉野,7,145-14-1345,145,14,1345,BUY,8,0.140397080394,B,False,1-7-5,8.0,0.0,-8.0,21,0.4007,0.305183526549,day,7,s
20250627-61-10,2025-06-27,玉野,10,257-25-2457,257,25,2457,BUY,8,0.143976162152,B,True,2-5-4,8.0,6.8,-1.2000000000000002,15,0.3802,0.331100496319,day,7,s
20250627-61-11,2025-06-27,玉野,11,145-14-1457,145,14,1457,BUY,8,0.138526590082,B,False,7-1-4,8.0,0.0,-8.0,17,0.2483,0.285508379488,day,7,s
20250628-22-05,2025-06-28,前橋,5,134-13-1235,134,13,1235,BUY,10,0.170143849468,B,True,3-1-5,10.0,2.8,-7.2,13,0.354,0.319093329375,day,6,s
20250628-22-06,2025-06-28,前橋,6,124-14-1457,124,14,1457,BUY,10,0.142973536949,B,False,3-2-1,10.0,0.0,-10.0,20,0.6115,0.346334225913,day,7,s
20250628-61-10,2025-06-28,玉野,10,137-37-2347,137,37,2347,BUY,10,0.139030284579,B,False,3-4-7,10.0,0.0,-10.0,15,0.4357,0.301379450849,day,7,s
20250629-56-07,2025-06-29,岸和田,7,257-57-3457,257,57,3457,BUY,10,0.150809268698,B,False,5-1-7,10.0,0.0,-10.0,11,0.5192,0.274500297797,day,7,s
20250629-56-10,2025-06-29,岸和田,10,125-15-1457,125,15,1457,BUY,10,0.158491412442,B,False,1-5-2,10.0,0.0,-10.0,10,0.3488,0.335634800285,day,7,s
20250629-56-11,2025-06-29,岸和田,11,457-45-2457,457,45,2457,BUY,8,0.150443904541,B,False,4-3-5,8.0,0.0,-8.0,21,0.3838,0.286190209844,day,7,s
20250629-61-05,2025-06-29,玉野,5,123-15-1235,123,15,1235,BUY,10,0.165361387446,B,True,1-5-2,10.0,31.5,21.5,15,0.5713,0.274166498675,day,6,s
20250629-61-12,2025-06-29,玉野,12,123-13-1357,123,13,1357,BUY,10,0.174595135459,B,False,1-5-7,10.0,0.0,-10.0,15,0.521,0.293476381201,day,7,s
20250630-56-06,2025-06-30,岸和田,6,134-13-1356,134,13,1356,BUY,10,0.192478078587,A,False,3-5-6,10.0,0.0,-10.0,17,0.4895,0.333583604106,day,6,s
20250701-56-05,2025-07-01,岸和田,5,345-35-1235,345,35,1235,BUY,10,0.196564546916,A,True,5-3-1,10.0,11.2,1.1999999999999993,20,0.5713,0.306247998771,day,6,s
20250701-56-07,2025-07-01,岸和田,7,145-15-1257,145,15,1257,BUY,10,0.153865271181,B,True,5-1-7,10.0,4.4,-5.6,9,0.5817,0.284403754745,day,7,s
20250711-85-06,2025-07-11,佐世保,6,123-23-1234,123,23,1234,BUY,8,0.215771632541,A,False,2-4-3,8.0,0.0,-8.0,9,0.4983,0.277381805009,day,5,s
20250717-12-10,2025-07-17,青森,10,267-27-2457,267,27,2457,BUY,10,0.159959387563,B,False,6-7-3,10.0,0.0,-10.0,20,0.2255,0.269640868988,day,7,s
20250718-12-10,2025-07-18,青森,10,135-13-1345,135,13,1345,BUY,8,0.151459234947,B,False,3-1-2,8.0,0.0,-8.0,13,0.3488,0.322464142797,day,7,s
20250719-12-08,2025-07-19,青森,8,234-34-3457,234,34,3457,BUY,10,0.142157774998,B,False,3-4-2,10.0,0.0,-10.0,20,0.2705,0.276879800928,day,7,s
20250722-45-11,2025-07-22,豊橋,11,134-14-1245,134,14,1245,BUY,10,0.149748483281,B,False,1-4-7,10.0,0.0,-10.0,19,0.3798,0.338754021492,day,7,s
20250728-46-06,2025-07-28,富山,6,245-24-1246,245,24,1246,BUY,10,0.179475216547,B,False,2-4-5,10.0,0.0,-10.0,9,0.5192,0.285252268785,day,6,s
20250729-86-08,2025-07-29,別府,8,125-25-2345,125,25,2345,BUY,10,0.231476925328,A,True,2-5-4,10.0,3.0,-7.0,13,0.5485,0.263582401551,day,5,s
20250729-86-09,2025-07-29,別府,9,234-34-2345,234,34,2345,BUY,8,0.18885784294,A,False,3-2-4,8.0,0.0,-8.0,18,0.4515,0.270216268525,day,5,s
20250730-73-10,2025-07-30,小松島,10,135-15-1257,135,15,1257,BUY,10,0.143470881799,B,False,7-3-1,10.0,0.0,-10.0,8,0.4012,0.295173828535,day,7,s
20250730-86-06,2025-07-30,別府,6,135-35-2345,135,35,2345,BUY,10,0.231971809532,A,False,5-1-3,10.0,0.0,-10.0,20,0.455,0.257643630318,day,5,s
20250801-83-09,2025-08-01,久留米,9,247-24-1234,247,24,1234,BUY,10,0.164088127076,B,True,7-4-1,10.0,121.0,111.0,8,0.49,0.266746686804,day,7,s
20250803-83-06,2025-08-03,久留米,6,245-25-1235,245,25,1235,BUY,10,0.149722692988,B,False,5-3-2,10.0,0.0,-10.0,9,0.5397,0.277724119079,day,6,s
20250804-26-11,2025-08-04,西武園,11,137-17-1457,137,17,1457,BUY,10,0.147978062271,B,False,1-5-7,10.0,0.0,-10.0,19,0.3247,0.344261683135,day,7,s
20250806-48-07,2025-08-06,四日市,7,125-25-2357,125,25,2357,BUY,10,0.144721462876,B,False,7-1-4,10.0,0.0,-10.0,9,0.4462,0.263888149474,day,7,s
20250807-51-06,2025-08-07,福井,6,234-34-3456,234,34,3456,BUY,10,0.155520554334,B,True,4-3-6,10.0,6.1,-3.9,9,0.4113,0.273557259268,day,6,s
20250808-73-08,2025-08-08,小松島,8,145-15-1245,145,15,1245,BUY,8,0.140916702736,B,False,1-4-7,8.0,0.0,-8.0,15,0.399,0.318505090706,day,7,s
20250812-22-08,2025-08-12,前橋,8,124-34-1234,124,34,1234,BUY,10,0.149069835314,B,True,2-4-1,10.0,9.2,-0.8000000000000007,12,0.4323,0.32603233123,day,7,s
20250812-46-10,2025-08-12,富山,10,135-35-3457,135,35,3457,BUY,10,0.149087883829,B,False,3-5-1,10.0,0.0,-10.0,12,0.3055,0.32362607021,day,7,s
20250814-22-05,2025-08-14,前橋,5,237-27-1247,237,27,1247,BUY,10,0.142638372331,B,False,7-4-3,10.0,0.0,-10.0,15,0.5,0.258769561708,day,7,s
20250815-56-10,2025-08-15,岸和田,10,235-25-1257,235,25,1257,BUY,10,0.170177926985,B,False,5-3-1,10.0,0.0,-10.0,13,0.389,0.352429163963,day,7,s
20250816-25-06,2025-08-16,大宮,6,135-13-1235,135,13,1235,BUY,8,0.237878596882,A,True,5-3-2,8.0,44.8,36.8,12,0.3925,0.29982163138,day,5,s
20250820-23-09,2025-08-20,取手,9,257-27-1237,257,27,1237,BUY,10,0.139587920295,B,True,5-2-3,10.0,201.0,191.0,15,0.316,0.295729039633,day,7,s
20250820-23-11,2025-08-20,取手,11,137-17-1457,137,17,1457,BUY,10,0.154685747475,B,True,7-1-4,10.0,7.9,-2.1,14,0.3907,0.343374725519,day,7,s
20250820-61-09,2025-08-20,玉野,9,124-24-2457,124,24,2457,BUY,10,0.153541110047,B,False,4-1-7,10.0,0.0,-10.0,10,0.5298,0.274201263694,day,7,s
20250821-81-11,2025-08-21,小倉,11,125-12-1257,125,12,1257,BUY,8,0.148884456924,B,False,5-1-4,8.0,0.0,-8.0,13,0.3213,0.286658670916,day,7,s
20250823-53-06,2025-08-23,奈良,6,125-25-1256,125,25,1256,BUY,8,0.149309828907,B,False,1-2-3,8.0,0.0,-8.0,13,0.4427,0.307485656253,day,6,s
20250824-74-06,2025-08-24,高知,6,123-23-1235,123,23,1235,BUY,8,0.184498076369,A,False,3-4-5,8.0,0.0,-8.0,13,0.441,0.266981269862,day,6,s
20250825-24-09,2025-08-25,宇都宮,9,357-37-1347,357,37,1347,BUY,10,0.160640606126,B,True,7-3-1,10.0,2.3,-7.7,15,0.5368,0.302038391602,day,7,s
20250825-74-05,2025-08-25,高知,5,135-13-1345,135,13,1345,BUY,8,0.212752957554,A,True,5-1-4,8.0,131.4,123.4,12,0.514,0.277348067316,day,5,s
20250828-34-09,2025-08-28,川崎,9,135-13-1345,135,13,1345,BUY,8,0.146864623841,B,True,5-3-4,8.0,5.5,-2.5,12,0.4602,0.284280789123,day,7,s
20250830-43-11,2025-08-30,岐阜,11,345-35-1357,345,35,1357,BUY,10,0.168903316744,B,False,3-7-1,10.0,0.0,-10.0,16,0.3458,0.308973868772,day,7,s
20250901-84-11,2025-09-01,武雄,11,157-17-1257,157,17,1257,BUY,8,0.142703090023,B,False,1-5-2,8.0,0.0,-8.0,8,0.295,0.308472272776,day,7,s
