date,venue,venue_code,race_number,scheduled_start_time,race_id,title,formation,ticket_count,combined_odds,estimated_hit_rate,selected_tickets_text,hit,actual_ticket,actual_payout_units,stake_units,return_units,profit_units,dutch_profit_units,scenario_type,risk_level,asof_label,odds_policy_status
2026-01-01,松阪,47,5,,20260101-47-05,????3??,4-7-2 / 2-4-7 / 4-2-7 / 7-1-4 / 7-2-1 / 2-7-4 / 4-7-1 / 7-1-2 / 2-4-6 / 4-7-3 / 7-1-3,11,2.394369377103788,0.24013175189900002,4-7-2|2-4-7|4-2-7|7-1-4|7-2-1|2-7-4|4-7-1|7-1-2|2-4-6|4-7-3|7-1-3,False,7-3-4,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-01,松阪,47,6,,20260101-47-06,????3??,3-7-6 / 3-2-6 / 4-3-6 / 6-7-3 / 6-2-3 / 4-6-3 / 6-3-1 / 3-4-7 / 6-4-2 / 3-6-5 / 6-4-7 / 6-3-5,12,4.857894219668752,0.20660706084299998,3-7-6|3-2-6|4-3-6|6-7-3|6-2-3|4-6-3|6-3-1|3-4-7|6-4-2|3-6-5|6-4-7|6-3-5,False,6-4-3,0.0,12.0,0.0,-12.0,-1.0,ev_cap100_odds10_100__n12,pred_roi=0.047,final,final_odds_research
2026-01-01,久留米,83,1,,20260101-83-01,????3??,2-1-3 / 1-2-3 / 2-1-4 / 2-3-1 / 1-2-4 / 3-2-1 / 3-1-2 / 1-3-2 / 2-6-1 / 2-5-1 / 2-4-6,11,2.1605234136799503,0.234986201956,2-1-3|1-2-3|2-1-4|2-3-1|1-2-4|3-2-1|3-1-2|1-3-2|2-6-1|2-5-1|2-4-6,True,1-2-4,8.9,11.0,8.9,-2.0999999999999996,1.1605234136799503,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-01,久留米,83,8,,20260101-83-08,????3??,1-3-2 / 1-2-3 / 1-3-4 / 1-2-4 / 1-4-2 / 3-1-2 / 1-4-3 / 1-3-5 / 4-2-1 / 4-1-2 / 3-2-4,11,2.330306992262301,0.20650951138499998,1-3-2|1-2-3|1-3-4|1-2-4|1-4-2|3-1-2|1-4-3|1-3-5|4-2-1|4-1-2|3-2-4,False,1-6-4,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-02,豊橋,45,6,,20260102-45-06,????3??,6-3-2 / 2-5-3 / 2-3-7 / 6-2-3 / 2-6-5 / 2-7-3 / 2-5-6 / 3-6-2 / 2-6-4 / 3-2-4 / 6-2-4,11,2.726481704427581,0.227625870224,6-3-2|2-5-3|2-3-7|6-2-3|2-6-5|2-7-3|2-5-6|3-6-2|2-6-4|3-2-4|6-2-4,False,6-7-2,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-02,豊橋,45,7,,20260102-45-07,????3??,7-4-5 / 5-7-4 / 7-1-4 / 5-7-1 / 7-5-3 / 7-4-1 / 7-5-6 / 5-1-7 / 7-6-5,9,2.8064304643119464,0.228639335636,7-4-5|5-7-4|7-1-4|5-7-1|7-5-3|7-4-1|7-5-6|5-1-7|7-6-5,False,7-3-5,0.0,9.0,0.0,-9.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|11,pred_roi=0.000,final,final_odds_research
2026-01-02,松阪,47,4,,20260102-47-04,????3??,3-4-5 / 4-3-5 / 4-6-3 / 3-5-4 / 4-3-6 / 3-4-6 / 4-5-3 / 3-5-6 / 5-6-4 / 6-3-5 / 3-1-6,11,2.0447560391748163,0.25580238038700004,3-4-5|4-3-5|4-6-3|3-5-4|4-3-6|3-4-6|4-5-3|3-5-6|5-6-4|6-3-5|3-1-6,False,3-4-2,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-02,松阪,47,10,,20260102-47-10,????3??,6-1-4 / 3-7-1 / 1-5-6 / 6-3-5 / 1-5-3 / 1-2-5 / 2-6-3 / 2-3-6 / 1-7-2 / 3-6-7,10,13.426772015836823,0.06663282948299999,6-1-4|3-7-1|1-5-6|6-3-5|1-5-3|1-2-5|2-6-3|2-3-6|1-7-2|3-6-7,False,3-5-2,0.0,10.0,0.0,-10.0,-1.0,mid_value_odds10_150__n10,pred_roi=0.000,final,final_odds_research
2026-01-03,いわき平,13,6,,20260103-13-06,????3??,4-5-2 / 5-4-2 / 2-4-5 / 5-2-3 / 4-6-2 / 5-2-6 / 5-6-4 / 4-3-2 / 4-7-6 / 5-3-4 / 5-4-1 / 5-7-4,12,2.179999922073111,0.25881126184,4-5-2|5-4-2|2-4-5|5-2-3|4-6-2|5-2-6|5-6-4|4-3-2|4-7-6|5-3-4|5-4-1|5-7-4,True,4-5-2,4.5,12.0,4.5,-7.5,1.1799999220731112,ticket_model,pred_roi=-0.000,final,final_odds_research
2026-01-03,いわき平,13,7,,20260103-13-07,????3??,7-6-5 / 7-1-4 / 7-4-5 / 7-6-2 / 7-4-2 / 7-1-6 / 7-5-4 / 7-5-6 / 7-1-5 / 7-2-6 / 7-2-4 / 7-5-1,12,2.630928101306378,0.328546788451,7-6-5|7-1-4|7-4-5|7-6-2|7-4-2|7-1-6|7-5-4|7-5-6|7-1-5|7-2-6|7-2-4|7-5-1,True,7-5-1,14.2,12.0,14.2,2.1999999999999993,1.6309281013063779,ev_cap100_odds10_100__n12,pred_roi=0.163,final,final_odds_research
2026-01-03,豊橋,45,6,,20260103-45-06,????3??,3-6-4 / 3-2-4 / 4-3-7 / 3-7-6 / 7-4-3 / 4-3-6 / 3-6-7 / 4-6-3 / 3-4-1,9,3.501014899286139,0.188679519331,3-6-4|3-2-4|4-3-7|3-7-6|7-4-3|4-3-6|3-6-7|4-6-3|3-4-1,False,3-4-2,0.0,9.0,0.0,-9.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|11,pred_roi=0.000,final,final_odds_research
2026-01-03,豊橋,45,7,,20260103-45-07,????3??,5-7-1 / 5-1-7 / 5-7-2 / 3-5-7 / 3-7-5 / 5-3-1 / 5-1-3 / 5-3-2 / 5-2-1 / 3-1-5 / 5-7-6,11,2.2686574256984717,0.26484104019599997,5-7-1|5-1-7|5-7-2|3-5-7|3-7-5|5-3-1|5-1-3|5-3-2|5-2-1|3-1-5|5-7-6,True,5-3-2,14.9,11.0,14.9,3.9000000000000004,1.2686574256984717,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-03,小松島,73,6,,20260103-73-06,????3??,4-3-7 / 3-7-4 / 3-4-7 / 4-7-2 / 7-4-2 / 7-2-4 / 7-3-2 / 4-2-7 / 7-4-1 / 7-4-6 / 4-7-1 / 3-2-7,12,2.0693823742109276,0.278115145334,4-3-7|3-7-4|3-4-7|4-7-2|7-4-2|7-2-4|7-3-2|4-2-7|7-4-1|7-4-6|4-7-1|3-2-7,True,7-4-6,48.1,12.0,48.1,36.1,1.0693823742109276,girls_selector_model: ranks 1|2|3|4|5|6|7|8|9|11|14|12,pred_roi=0.029,final,final_odds_research
2026-01-03,小松島,73,7,,20260103-73-07,????3??,6-1-3 / 1-6-5 / 1-5-6 / 6-3-1 / 6-1-5 / 5-6-1 / 5-1-6 / 1-3-7 / 5-1-3 / 3-5-1 / 1-5-7 / 1-2-3,12,2.7813571496166873,0.24147166260199998,6-1-3|1-6-5|1-5-6|6-3-1|6-1-5|5-6-1|5-1-6|1-3-7|5-1-3|3-5-1|1-5-7|1-2-3,False,1-3-6,0.0,12.0,0.0,-12.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|9|15|17|30,pred_roi=0.008,final,final_odds_research
2026-01-04,いわき平,13,6,,20260104-13-06,????3??,3-1-7 / 1-5-6 / 1-7-4 / 7-3-1 / 1-3-4 / 1-5-7 / 1-6-5 / 7-1-6 / 7-1-3 / 1-5-3,10,7.404786381923512,0.141786378732,3-1-7|1-5-6|1-7-4|7-3-1|1-3-4|1-5-7|1-6-5|7-1-6|7-1-3|1-5-3,False,1-7-5,0.0,10.0,0.0,-10.0,-1.0,ev_cap100_odds10_150__n10,pred_roi=-0.000,final,final_odds_research
2026-01-04,いわき平,13,7,,20260104-13-07,????3??,3-5-2 / 3-5-6 / 5-7-6 / 5-6-4 / 5-7-3 / 5-2-6 / 5-6-7 / 5-2-3 / 5-6-2 / 5-3-4 / 5-3-7 / 5-6-1,12,2.7541784207450033,0.310222978258,3-5-2|3-5-6|5-7-6|5-6-4|5-7-3|5-2-6|5-6-7|5-2-3|5-6-2|5-3-4|5-3-7|5-6-1,False,5-3-2,0.0,12.0,0.0,-12.0,-1.0,ev_cap100_odds10_100__n12,pred_roi=0.235,final,final_odds_research
2026-01-04,豊橋,45,5,,20260104-45-05,????3??,1-2-7 / 2-7-1 / 2-1-3 / 1-7-2 / 2-1-4 / 1-2-3 / 1-2-4 / 7-1-2 / 2-3-7 / 1-7-3 / 3-2-7,11,2.3329647907192137,0.23691523553199997,1-2-7|2-7-1|2-1-3|1-7-2|2-1-4|1-2-3|1-2-4|7-1-2|2-3-7|1-7-3|3-2-7,False,3-5-7,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-04,豊橋,45,11,,20260104-45-11,????3??,6-3-2 / 6-2-3 / 2-6-1 / 6-2-5 / 2-6-5 / 3-2-6 / 6-5-2 / 2-3-1 / 2-3-4 / 2-5-1 / 1-3-2,11,3.1893768274000895,0.20120356982,6-3-2|6-2-3|2-6-1|6-2-5|2-6-5|3-2-6|6-5-2|2-3-1|2-3-4|2-5-1|1-3-2,False,2-4-6,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-04,玉野,61,5,,20260104-61-05,????3??,5-3-7 / 5-7-1 / 7-5-1 / 7-3-5 / 3-5-7 / 3-7-5 / 5-7-2 / 5-1-7 / 5-7-6 / 7-5-2 / 7-1-5 / 5-2-3,12,1.7693410688713438,0.324252951138,5-3-7|5-7-1|7-5-1|7-3-5|3-5-7|3-7-5|5-7-2|5-1-7|5-7-6|7-5-2|7-1-5|5-2-3,True,7-5-2,20.4,12.0,20.4,8.399999999999999,0.7693410688713438,girls_selector_model: ranks 1|2|3|4|5|6|7|8|14|9|11|12,pred_roi=0.029,final,final_odds_research
2026-01-04,玉野,61,6,,20260104-61-06,????3??,1-6-7 / 5-6-1 / 1-7-6 / 1-7-5 / 5-1-6 / 2-7-6 / 7-1-6 / 7-1-5 / 1-2-5 / 1-4-5 / 1-2-7,11,2.812140791399195,0.217082279757,1-6-7|5-6-1|1-7-6|1-7-5|5-1-6|2-7-6|7-1-6|7-1-5|1-2-5|1-4-5|1-2-7,True,1-7-6,16.2,11.0,16.2,5.199999999999999,1.812140791399195,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-04,小松島,73,6,,20260104-73-06,????3??,6-4-2 / 6-2-4 / 2-4-7 / 2-6-7 / 2-7-6 / 2-4-1 / 2-7-4 / 6-2-7 / 6-2-3 / 6-2-1 / 2-1-7,11,2.8758724592411298,0.22500454610400006,6-4-2|6-2-4|2-4-7|2-6-7|2-7-6|2-4-1|2-7-4|6-2-7|6-2-3|6-2-1|2-1-7,True,2-4-1,14.4,11.0,14.4,3.4000000000000004,1.8758724592411298,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
