excluded_months,exclude_count,all_windows_pass,m3_races,m3_roi,m3_hit_rate,m3_stake,m3_returns,m3_roi_without_top1,m3_top1_return_share,m3p5_races,m3p5_roi,m3p5_hit_rate,m3p5_stake,m3p5_returns,m3p5_roi_without_top1,m3p5_top1_return_share,m4_races,m4_roi,m4_hit_rate,m4_stake,m4_returns,m4_roi_without_top1,m4_top1_return_share,m4p5_races,m4p5_roi,m4p5_hit_rate,m4p5_stake,m4p5_returns,m4p5_roi_without_top1,m4p5_top1_return_share,m5_races,m5_roi,m5_hit_rate,m5_stake,m5_returns,m5_roi_without_top1,m5_top1_return_share,m5p5_races,m5p5_roi,m5p5_hit_rate,m5p5_stake,m5p5_returns,m5p5_roi_without_top1,m5p5_top1_return_share,m6_races,m6_roi,m6_hit_rate,m6_stake,m6_returns,m6_roi_without_top1,m6_top1_return_share,m6p5_races,m6p5_roi,m6p5_hit_rate,m6p5_stake,m6p5_returns,m6p5_roi_without_top1,m6p5_top1_return_share,m7_races,m7_roi,m7_hit_rate,m7_stake,m7_returns,m7_roi_without_top1,m7_top1_return_share,m7p5_races,m7p5_roi,m7p5_hit_rate,m7p5_stake,m7p5_returns,m7p5_roi_without_top1,m7p5_top1_return_share,m8_races,m8_roi,m8_hit_rate,m8_stake,m8_returns,m8_roi_without_top1,m8_top1_return_share,m8p5_races,m8p5_roi,m8p5_hit_rate,m8p5_stake,m8p5_returns,m8p5_roi_without_top1,m8p5_top1_return_share,m9_races,m9_roi,m9_hit_rate,m9_stake,m9_returns,m9_roi_without_top1,m9_top1_return_share,m9p5_races,m9p5_roi,m9p5_hit_rate,m9p5_stake,m9p5_returns,m9p5_roi_without_top1,m9p5_top1_return_share,m10_races,m10_roi,m10_hit_rate,m10_stake,m10_returns,m10_roi_without_top1,m10_top1_return_share,m10p5_races,m10p5_roi,m10p5_hit_rate,m10p5_stake,m10p5_returns,m10p5_roi_without_top1,m10p5_top1_return_share,m11_races,m11_roi,m11_hit_rate,m11_stake,m11_returns,m11_roi_without_top1,m11_top1_return_share,m11p5_races,m11p5_roi,m11p5_hit_rate,m11p5_stake,m11p5_returns,m11p5_roi_without_top1,m11p5_top1_return_share,m12a_races,m12a_roi,m12a_hit_rate,m12a_stake,m12a_returns,m12a_roi_without_top1,m12a_top1_return_share,m12_races,m12_roi,m12_hit_rate,m12_stake,m12_returns,m12_roi_without_top1,m12_top1_return_share
1 11,2,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,110,1.2055555555555553,0.3181818181818182,1008.0,1215.1999999999998,0.9598214285714284,0.20383475971033577,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,140,1.1256589147286822,0.30714285714285716,1290.0,1452.1,0.9336434108527131,0.17058053853040425,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,175,1.2655129789864028,0.2914285714285714,1618.0,2047.6,1.1124227441285537,0.12097089275249072,189,1.5644077448747151,0.30158730158730157,1756.0,2747.1,1.1986332574031893,0.2338101998471115,212,1.4760913705583754,0.3113207547169811,1970.0,2907.8999999999996,1.1500507614213196,0.22088104817909834,234,1.4310027598896042,0.3034188034188034,2174.0,3110.9999999999995,1.1355565777368903,0.20646094503375123,246,1.5354513584574934,0.3130081300813008,2282.0,3503.8999999999996,1.2539877300613496,0.18331002597106083,255,1.5359493670886077,0.3137254901960784,2370.0,3640.2000000000003,1.2649367088607597,0.17644634910169768,264,1.483387622149837,0.3068181818181818,2456.0,3643.2,1.2218648208469054,0.1763010540184453,267,1.4729468599033817,0.31086142322097376,2484.0,3658.8,1.2143719806763285,0.17554936044604785,296,1.3668722786647314,0.30743243243243246,2756.0,3767.1,1.1338171262699566,0.170502508560962,308,1.3404262753319358,0.3116883116883117,2862.0,3836.3,1.1160027952480782,0.167426947840367,322,1.3554108216432867,0.32608695652173914,2994.0,4058.1000000000004,1.140881763527054,0.15827604051156943
1 2,2,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,113,1.2637065637065636,0.3185840707964602,1036.0,1309.2,1.0246138996138996,0.18919951115184844,125,1.2551993067590985,0.304,1154.0,1448.4999999999998,1.0405545927209703,0.17100448740075944,131,1.22,0.31297709923664124,1210.0,1476.2,1.015289256198347,0.16779569164069907,143,1.1183333333333336,0.2867132867132867,1320.0,1476.2000000000003,0.9306818181818184,0.16779569164069905,166,1.2630065359477125,0.28313253012048195,1530.0,1932.4,1.1011111111111112,0.12818257089629476,180,1.5778776978417264,0.29444444444444445,1668.0,2631.8999999999996,1.1928057553956832,0.2440442266043543,203,1.4839001062699255,0.3054187192118227,1882.0,2792.7,1.1426142401700317,0.22999248039531636,225,1.4361457334611698,0.29777777777777775,2086.0,2995.8,1.1282358581016299,0.21440016022431402,237,1.5445305378304466,0.3080168776371308,2194.0,3388.7,1.2517775752051046,0.18954171216100568,246,1.544697633654689,0.3089430894308943,2282.0,3525.0,1.2632340052585451,0.1822127659574468,255,1.489864864864865,0.30196078431372547,2368.0,3528.0,1.2186233108108107,0.1820578231292517,258,1.478964941569282,0.3062015503875969,2396.0,3543.6,1.2108931552587647,0.18125634947511005,287,1.3687781109445278,0.30313588850174217,2668.0,3651.9,1.1280359820089956,0.17588104822147374,299,1.3414203316510454,0.3076923076923077,2774.0,3721.1,1.1098774333093007,0.17261024965735938,313,1.3568134893324157,0.3226837060702875,2906.0,3942.9,1.135788024776325,0.16290040325648633
2 11,2,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,104,1.2306962025316455,0.33653846153846156,948.0,1166.6999999999998,0.9694092827004217,0.2123082197651496,110,1.1827345309381236,0.33636363636363636,1002.0,1185.1,0.9355289421157683,0.20901189773014936,130,1.1510961214165263,0.33076923076923076,1186.0,1365.2,0.9422428330522765,0.18143861705244652,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,165,1.2950462351387055,0.3090909090909091,1514.0,1960.7000000000003,1.131439894319683,0.12633243229458865,179,1.6102905569007262,0.31843575418994413,1652.0,2660.2,1.2214891041162226,0.2414480114277122,202,1.5117899249732047,0.32673267326732675,1866.0,2821.0,1.167577706323687,0.22768521800779865,224,1.4609178743961353,0.3169642857142857,2070.0,3024.1,1.1506280193236715,0.2123937700472868,236,1.5688705234159779,0.326271186440678,2178.0,3417.0,1.2739669421487603,0.18797190517998244,245,1.5680935569285084,0.32653061224489793,2266.0,3553.3,1.2846425419240952,0.18076154560549346,254,1.51203231292517,0.3188976377952756,2352.0,3556.3,1.2389455782312926,0.18060905997806706,257,1.5007983193277312,0.3229571984435798,2380.0,3571.9,1.2309243697478993,0.17982026372518825,286,1.387707390648567,0.3181818181818182,2652.0,3680.2,1.1455128205128204,0.17452855823053096,298,1.3594633792603334,0.3221476510067114,2758.0,3749.3999999999996,1.126577229876722,0.1713074091854697,312,1.3741176470588234,0.33653846153846156,2890.0,3971.2,1.1518685121107266,0.16173952457695406
11 12,2,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,110,1.2055555555555553,0.3181818181818182,1008.0,1215.1999999999998,0.9598214285714284,0.20383475971033577,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,131,1.0895174708818636,0.32061068702290074,1202.0,1309.6,0.8834442595673876,0.18914172266340867,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,160,1.2170532060027286,0.3125,1466.0,1784.2,1.0480900409276943,0.13882972760901244,174,1.548441396508728,0.3218390804597701,1604.0,2483.7,1.148004987531172,0.25860611184925714,197,1.4546204620462047,0.3299492385786802,1818.0,2644.5,1.1013201320132013,0.24288145207033465,219,1.4083086053412466,0.319634703196347,2022.0,2847.6000000000004,1.090652818991098,0.22555836493889586,231,1.5213615023474178,0.329004329004329,2130.0,3240.5,1.21981220657277,0.1982101527542046,240,1.5224526600541028,0.32916666666666666,2218.0,3376.8,1.2328674481514879,0.19020966595593458,249,1.4669270833333332,0.321285140562249,2304.0,3379.7999999999997,1.1881510416666667,0.19004083081839163,252,1.4560034305317324,0.3253968253968254,2332.0,3395.4,1.1805746140651803,0.18916769747305176,281,1.3455069124423962,0.3202846975088968,2604.0,3503.7,1.098847926267281,0.1833204897679596,293,1.318413284132841,0.3242320819112628,2710.0,3572.8999999999996,1.08140221402214,0.1797699347868678,307,1.3352216748768473,0.33876221498371334,2842.0,3794.7,1.1092188599577761,0.16926239228397502
1 7 11,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,110,1.2055555555555553,0.3181818181818182,1008.0,1215.1999999999998,0.9598214285714284,0.20383475971033577,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,140,1.1256589147286822,0.30714285714285716,1290.0,1452.1,0.9336434108527131,0.17058053853040425,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,175,1.2655129789864028,0.2914285714285714,1618.0,2047.6,1.1124227441285537,0.12097089275249072,189,1.5644077448747151,0.30158730158730157,1756.0,2747.1,1.1986332574031893,0.2338101998471115,212,1.4760913705583754,0.3113207547169811,1970.0,2907.8999999999996,1.1500507614213196,0.22088104817909834,234,1.4310027598896042,0.3034188034188034,2174.0,3110.9999999999995,1.1355565777368903,0.20646094503375123,246,1.5354513584574934,0.3130081300813008,2282.0,3503.8999999999996,1.2539877300613496,0.18331002597106083,255,1.5359493670886077,0.3137254901960784,2370.0,3640.2000000000003,1.2649367088607597,0.17644634910169768,255,1.5359493670886077,0.3137254901960784,2370.0,3640.2000000000003,1.2649367088607597,0.17644634910169768,255,1.5359493670886077,0.3137254901960784,2370.0,3640.2000000000003,1.2649367088607597,0.17644634910169768,284,1.4188115064345193,0.30985915492957744,2642.0,3748.5,1.1757002271006813,0.1713485394157663,296,1.389264919941776,0.3141891891891892,2748.0,3817.7000000000003,1.1555312954876276,0.16824265919270762,310,1.4026041666666667,0.32903225806451614,2880.0,4039.5,1.1795833333333332,0.1590048273301151
1 2 7,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,113,1.2637065637065636,0.3185840707964602,1036.0,1309.2,1.0246138996138996,0.18919951115184844,125,1.2551993067590985,0.304,1154.0,1448.4999999999998,1.0405545927209703,0.17100448740075944,131,1.22,0.31297709923664124,1210.0,1476.2,1.015289256198347,0.16779569164069907,143,1.1183333333333336,0.2867132867132867,1320.0,1476.2000000000003,0.9306818181818184,0.16779569164069905,166,1.2630065359477125,0.28313253012048195,1530.0,1932.4,1.1011111111111112,0.12818257089629476,180,1.5778776978417264,0.29444444444444445,1668.0,2631.8999999999996,1.1928057553956832,0.2440442266043543,203,1.4839001062699255,0.3054187192118227,1882.0,2792.7,1.1426142401700317,0.22999248039531636,225,1.4361457334611698,0.29777777777777775,2086.0,2995.8,1.1282358581016299,0.21440016022431402,237,1.5445305378304466,0.3080168776371308,2194.0,3388.7,1.2517775752051046,0.18954171216100568,246,1.544697633654689,0.3089430894308943,2282.0,3525.0,1.2632340052585451,0.1822127659574468,246,1.544697633654689,0.3089430894308943,2282.0,3525.0,1.2632340052585451,0.1822127659574468,246,1.544697633654689,0.3089430894308943,2282.0,3525.0,1.2632340052585451,0.1822127659574468,275,1.4225920125293658,0.3054545454545455,2554.0,3633.3,1.1711041503523885,0.1767814383618198,287,1.3919172932330828,0.31010452961672474,2660.0,3702.5,1.1504511278195488,0.17347738014854827,301,1.405551575931232,0.32558139534883723,2792.0,3924.2999999999997,1.1755014326647564,0.16367250210228576
1 8 11,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,110,1.2055555555555553,0.3181818181818182,1008.0,1215.1999999999998,0.9598214285714284,0.20383475971033577,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,140,1.1256589147286822,0.30714285714285716,1290.0,1452.1,0.9336434108527131,0.17058053853040425,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,152,1.130255681818182,0.29605263157894735,1408.0,1591.4,0.9543323863636364,0.15564911398768377,175,1.2655129789864028,0.2914285714285714,1618.0,2047.6,1.1124227441285537,0.12097089275249072,189,1.5644077448747151,0.30158730158730157,1756.0,2747.1,1.1986332574031893,0.2338101998471115,212,1.4760913705583754,0.3113207547169811,1970.0,2907.8999999999996,1.1500507614213196,0.22088104817909834,234,1.4310027598896042,0.3034188034188034,2174.0,3110.9999999999995,1.1355565777368903,0.20646094503375123,234,1.4310027598896042,0.3034188034188034,2174.0,3110.9999999999995,1.1355565777368903,0.20646094503375123,234,1.4310027598896042,0.3034188034188034,2174.0,3110.9999999999995,1.1355565777368903,0.20646094503375123,243,1.37787610619469,0.2962962962962963,2260.0,3113.9999999999995,1.0936725663716813,0.20626204238921003,246,1.3678321678321679,0.3008130081300813,2288.0,3129.6,1.0871066433566434,0.20523389570552147,275,1.2648046874999999,0.29818181818181816,2560.0,3237.8999999999996,1.0139062499999998,0.19836931344389883,287,1.2404726181545387,0.30313588850174217,2666.0,3307.1000000000004,0.999549887471868,0.19421849959178733,301,1.2612223016440314,0.31893687707641194,2798.0,3528.9,1.0316654753395285,0.18201139165178948
2 7 11,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,104,1.2306962025316455,0.33653846153846156,948.0,1166.6999999999998,0.9694092827004217,0.2123082197651496,110,1.1827345309381236,0.33636363636363636,1002.0,1185.1,0.9355289421157683,0.20901189773014936,130,1.1510961214165263,0.33076923076923076,1186.0,1365.2,0.9422428330522765,0.18143861705244652,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,142,1.1537576687116564,0.31690140845070425,1304.0,1504.5,0.9638036809815951,0.16463941508806912,165,1.2950462351387055,0.3090909090909091,1514.0,1960.7000000000003,1.131439894319683,0.12633243229458865,179,1.6102905569007262,0.31843575418994413,1652.0,2660.2,1.2214891041162226,0.2414480114277122,202,1.5117899249732047,0.32673267326732675,1866.0,2821.0,1.167577706323687,0.22768521800779865,224,1.4609178743961353,0.3169642857142857,2070.0,3024.1,1.1506280193236715,0.2123937700472868,236,1.5688705234159779,0.326271186440678,2178.0,3417.0,1.2739669421487603,0.18797190517998244,245,1.5680935569285084,0.32653061224489793,2266.0,3553.3,1.2846425419240952,0.18076154560549346,245,1.5680935569285084,0.32653061224489793,2266.0,3553.3,1.2846425419240952,0.18076154560549346,245,1.5680935569285084,0.32653061224489793,2266.0,3553.3,1.2846425419240952,0.18076154560549346,274,1.4427107959022851,0.32116788321167883,2538.0,3661.6,1.1896375098502758,0.175415119073629,286,1.4110438729198185,0.32517482517482516,2644.0,3730.8,1.1681164901664145,0.1721614667095529,300,1.4238472622478384,0.34,2776.0,3952.5999999999995,1.1924711815561957,0.16250063249506655
1 2 11,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,113,1.2637065637065636,0.3185840707964602,1036.0,1309.2,1.0246138996138996,0.18919951115184844,125,1.2551993067590985,0.304,1154.0,1448.4999999999998,1.0405545927209703,0.17100448740075944,125,1.2551993067590985,0.304,1154.0,1448.4999999999998,1.0405545927209703,0.17100448740075944,125,1.2551993067590985,0.304,1154.0,1448.4999999999998,1.0405545927209703,0.17100448740075944,148,1.3964076246334312,0.2972972972972973,1364.0,1904.7,1.214809384164223,0.13004672651861185,162,1.7338215712383487,0.30864197530864196,1502.0,2604.2,1.3061917443408788,0.24664004300744952,185,1.6113053613053614,0.31891891891891894,1716.0,2765.0,1.237004662004662,0.23229656419529834,207,1.5458854166666667,0.30917874396135264,1920.0,2968.1,1.2113541666666667,0.21640106465415584,219,1.6572978303747532,0.319634703196347,2028.0,3360.9999999999995,1.3405818540433925,0.1911038381434097,228,1.6527882797731568,0.3201754385964912,2116.0,3497.2999999999997,1.3492438563327032,0.18365596317158953,237,1.5896003633060856,0.31223628691983124,2202.0,3500.3,1.2979109900090826,0.18349855726651998,240,1.5766367713004485,0.31666666666666665,2230.0,3515.9,1.2886098654708522,0.18268437668875678,269,1.4485211830535571,0.31226765799256506,2502.0,3624.2,1.191806554756195,0.17722531869102146,281,1.4161809815950919,0.3167259786476868,2608.0,3693.3999999999996,1.1699003067484661,0.1739048031623978,295,1.428905109489051,0.33220338983050846,2740.0,3915.2,1.1944890510948905,0.16405292194523907
7 11 12,3,True,93,1.3252347417840376,0.3225806451612903,852.0,1129.1,1.034507042253521,0.21937826587547604,110,1.2055555555555553,0.3181818181818182,1008.0,1215.1999999999998,0.9598214285714284,0.20383475971033577,120,1.1500904159132008,0.30833333333333335,1106.0,1272.0,0.926130198915009,0.19473270440251572,131,1.0895174708818636,0.32061068702290074,1202.0,1309.6,0.8834442595673876,0.18914172266340867,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,137,1.0573248407643312,0.32116788321167883,1256.0,1328.0,0.8601114649681528,0.1865210843373494,160,1.2170532060027286,0.3125,1466.0,1784.2,1.0480900409276943,0.13882972760901244,174,1.548441396508728,0.3218390804597701,1604.0,2483.7,1.148004987531172,0.25860611184925714,197,1.4546204620462047,0.3299492385786802,1818.0,2644.5,1.1013201320132013,0.24288145207033465,219,1.4083086053412466,0.319634703196347,2022.0,2847.6000000000004,1.090652818991098,0.22555836493889586,231,1.5213615023474178,0.329004329004329,2130.0,3240.5,1.21981220657277,0.1982101527542046,240,1.5224526600541028,0.32916666666666666,2218.0,3376.8,1.2328674481514879,0.19020966595593458,240,1.5224526600541028,0.32916666666666666,2218.0,3376.8,1.2328674481514879,0.19020966595593458,240,1.5224526600541028,0.32916666666666666,2218.0,3376.8,1.2328674481514879,0.19020966595593458,269,1.3996385542168672,0.32342007434944237,2490.0,3485.0999999999995,1.1416867469879515,0.18429887234225706,281,1.369144838212635,0.3274021352313167,2596.0,3554.3,1.1217257318952234,0.18071068846186308,295,1.3842008797653957,0.3423728813559322,2728.0,3776.0999999999995,1.1487536656891493,0.17009613092873602
