strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,1,2-4-7,1,63.3,0.011800307907,0.011800307907,,0.746959490513,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,2,4-7-2,1,17.2,0.043427877354,0.043427877354,,0.746959490489,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,3,4-2-7,1,42.6,0.01753426034,0.01753426034,,0.746959490484,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,4,7-1-4,1,14.4,0.051872186839,0.051872186839,,0.746959490482,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,5,7-2-1,1,13.6,0.054923491947,0.054923491947,,0.746959490479,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-05,2026-01-01,松阪,5,6,2-7-4,1,38.3,0.019502858759,0.019502858759,,0.74695949047,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,1,6-7-3,1,51.8,0.014371321307,0.014371321307,,0.744434443703,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,2,6-2-3,1,48.3,0.015412721401,0.015412721401,,0.744434443668,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,3,4-3-6,1,68.4,0.010883544498,0.010883544498,,0.744434443663,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,4,3-7-6,1,70.6,0.010544397219,0.010544397219,,0.744434443661,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,5,4-6-3,1,67.6,0.011012343841,0.011012343841,,0.744434443652,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-47-06,2026-01-01,松阪,6,6,3-2-6,1,61.8,0.012045864784,0.012045864784,,0.744434443651,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,1,2-3-1,1,25.5,0.029361533382,0.029361533382,,0.748719101241,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,2,1-2-4,1,17.5,0.042783948642,0.042783948642,,0.748719101235,True,8.9,8.9,7.9,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,3,2-1-4,1,14.4,0.05199438203,0.05199438203,,0.748719101232,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,4,2-1-3,1,11,0.068065372839,0.068065372839,,0.748719101229,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,5,1-2-3,1,12.5,0.059897528098,0.059897528098,,0.748719101225,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-01,2026-01-01,久留米,1,6,3-2-1,1,56.5,0.013251665508,0.013251665508,,0.748719101202,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260101-83-08,2026-01-01,久留米,8,1,1-4-2,1,27.1,0.027646497771,0.027646497771,,0.749220089594,False,,0,-1,final,final_odds_research_only
