date,venue,venue_code,race_number,scheduled_start_time,deadline_time,race_id,title,category,formation,first_numbers,second_numbers,third_numbers,ticket_count,combined_odds,estimated_hit_rate,estimated_hit_rate_pct,selected_tickets,status,late_generated,actual_ticket,actual_payout_units,invested_units,returned_units,profit_units,prediction_gate_profile,ticket_type,selection_role,sales_evidence_allowed,research_only_reason,candidate_selection_scope,first_back_max,first_chigire_max,first_p1_max,race_class_scope,invalid_selection_original_status,selection_integrity_status
2026-05-27,大垣,44,9,14:39,14:34,20260527-44-09,Ｓ級特選,Ｓ級特選,257-27-2457,257,27,2457,8,3.881592572081,0.142438937858,14.24,2-7-4|2-7-5|5-2-4|5-2-7|5-7-2|5-7-4|7-2-4|7-2-5,miss,False,2-7-6,8.7,8.0,0.0,-8.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,21.0,0.4042,0.303955910746,s,,
2026-05-27,弥彦,21,11,15:22,15:17,20260527-21-11,Ｓ級予選,Ｓ級予選,157-15-1245,157,15,1245,10,2.442924289051,0.164372547611,16.44,1-5-2|1-5-4|5-1-2|5-1-4|7-1-2|7-1-4|7-1-5|7-5-1|7-5-2|7-5-4,miss,False,2-7-3,319.4,10.0,0.0,-10.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,13.0,0.3872,0.281493270914,s,,
2026-05-28,広島,62,11,15:22,15:17,20260528-62-11,Ｓ級予選,Ｓ級予選,125-25-2345,125,25,2345,10,1.364371936878,0.168025282213,16.8,1-2-3|1-2-4|1-2-5|1-5-2|1-5-3|1-5-4|2-5-3|2-5-4|5-2-3|5-2-4,hit,False,2-5-4,7.0,10.0,7.0,-3.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,15.0,0.3872,0.41866257649,s,,
2026-05-29,広島,62,10,15:05,15:00,20260529-62-10,Ｓ級準決勝,Ｓ級準決勝,123-12-1245,123,12,1245,10,6.281349623499,0.14735690652,14.74,1-2-4|1-2-5|2-1-4|2-1-5|3-1-2|3-1-4|3-1-5|3-2-1|3-2-4|3-2-5,miss,False,6-2-1,114.9,10.0,0.0,-10.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,12.0,0.4305,0.389765596887,s,,
2026-05-29,弥彦,21,10,15:15,15:10,20260529-21-10,Ｓ級特選,Ｓ級特選,147-14-1345,147,14,1345,10,2.677906129138,0.139959498613,14.0,1-4-3|1-4-5|4-1-3|4-1-5|7-1-3|7-1-4|7-1-5|7-4-1|7-4-3|7-4-5,hit,False,4-1-3,6.4,10.0,6.4,-3.6,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,13.0,0.2757,0.279058450469,s,,
2026-05-29,広島,62,12,16:11,16:06,20260529-62-12,Ｓ級準決勝,Ｓ級準決勝,124-24-1245,124,24,1245,8,3.724809446776,0.147144897888,14.71,1-2-4|1-2-5|1-4-2|1-4-5|2-4-1|2-4-5|4-2-1|4-2-5,miss,False,5-7-3,756.9,8.0,0.0,-8.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,12.0,0.4083,0.304600157078,s,,
2026-05-30,宇都宮,24,3,11:43,11:38,20260530-24-03,Ｓ級一予選,Ｓ級一予選,257-25-1257,257,25,1257,8,2.97400767472,0.1492542846,14.93,2-5-1|2-5-7|5-2-1|5-2-7|7-2-1|7-2-5|7-5-1|7-5-2,miss,False,2-8-5,59.4,8.0,0.0,-8.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,9.0,0.3488,0.280593078372,s,,
2026-05-30,宇都宮,24,5,12:37,12:32,20260530-24-05,Ｓ級一予選,Ｓ級一予選,129-29-1239,129,29,1239,8,2.284036469457,0.153172283378,15.32,1-2-3|1-2-9|1-9-2|1-9-3|2-9-1|2-9-3|9-2-1|9-2-3,miss,False,9-2-5,31.3,8.0,0.0,-8.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,8.0,0.4012,0.258690097788,s,,
2026-05-30,宇都宮,24,6,13:06,13:01,20260530-24-06,Ｓ級一予選,Ｓ級一予選,127-17-1379,127,17,1379,10,6.764989340856,0.14583114457,14.58,1-7-3|1-7-9|2-1-3|2-1-7|2-1-9|2-7-1|2-7-3|2-7-9|7-1-3|7-1-9,miss,False,2-7-5,177.0,10.0,0.0,-10.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,9.0,0.4287,0.310319364673,s,,
2026-05-30,広島,62,8,13:56,13:51,20260530-62-08,Ｓ級特選,Ｓ級特選,135-35-1345,135,35,1345,8,3.290182307968,0.223106460952,22.31,1-3-4|1-3-5|1-5-3|1-5-4|3-5-1|3-5-4|5-3-1|5-3-4,miss,False,5-7-3,68.4,8.0,0.0,-8.0,line_break_back_chigire_s,trifecta,challenger,False,s_class_line_break_gate_requires_forward_evidence,fixed_research_gate,12.0,0.4357,0.360729980558,s,,
