race_id,date,venue,race_number,dataset_version,exporter_version,row_id,registration_no,registration_no_missing,number,car_number,name,label_resolved,finish_rank,target_top1,target_top2,target_top3,title,category,girls,time_band,field_size,scheduled_start_time,race_is_s_class,race_class_scope,race_class_scope_reason,snapshot_joined,race_stage,class_stage,race_slot,normalized_race_number,scheduled_hour,venue_bank_length_m,venue_bank_length_delta_400,venue_straight_length_m,venue_center_cant_deg,venue_straight_cant_deg,venue_straight_ratio,venue_bank_exposure,weather_wind_speed_mps,weather_wind_abs_mps,wind_x_bank_exposure,front_style_wind_load,front_style_short_bank_pressure,support_style_long_straight_signal,car1_score_rank,car1_back_count,car1_nige_count,car1_st_tori,axis_number,axis_back_count,axis_score_rank,is_early_slot,is_mid_slot,is_late_slot,is_after_22,is_midnight_meeting,venue_profile_known,venue_is_short_bank,venue_is_400m_bank,venue_is_500m_bank,venue_is_indoor,venue_is_coastal,venue_is_river,venue_is_mountain,weather_has_wind_speed,weather_is_strong_wind,car1_is_top_score,car1_style_escape,car1_is_max_back,venue_is_seibuen,seibuen_back10_self_powered_axis,axis_style_escape,program_average_points,program_recent_finish_index,program_age,program_style,program_comment_confidence,program_line_strength,program_venue_fit,program_class_band,program_prefecture,program_home_bank,program_graduation_term,program_win_rate,program_quinella_rate,program_trio_rate,program_nige_count,program_makuri_count,program_sashi_count,program_mark_count,program_back_count,program_gear_ratio,program_yosoin_mark,program_st_tori,program_average_points_rank,program_is_top_average_points,program_back_count_rank,program_is_max_back,program_front_style_score,program_support_style_score,program_line_type,program_line_id,program_line_position,program_line_size,program_same_line_count_ahead,program_same_line_count_behind,snapshot_race_id,snapshot_registration_no,snapshot_asof_date,snapshot_registration_no_missing,snapshot_name,snapshot_number,snapshot_venue,snapshot_race_number,snapshot_category,snapshot_race_class_scope,snapshot_class_band,snapshot_age,snapshot_style,snapshot_average_points,snapshot_win_rate,snapshot_quinella_rate,snapshot_trio_rate,snapshot_nige_count,snapshot_makuri_count,snapshot_sashi_count,snapshot_mark_count,snapshot_back_count,snapshot_profile_available,snapshot_recent_form_available,snapshot_lookback_races,snapshot_avg_finish,snapshot_top1_rate,snapshot_top2_rate,snapshot_top3_rate,snapshot_avg_agari,snapshot_popular_underperform_rate,snapshot_escape_survival_rate,snapshot_makuri_success_rate,snapshot_close_loss_positive_signal,snapshot_escape_skill_auto,snapshot_makuri_skill_auto,snapshot_kamashi_skill_auto,snapshot_marker_work_score_auto,snapshot_chigire_risk_auto,snapshot_solo_strength_auto,snapshot_chaos_upside_auto,snapshot_recent_form_score,snapshot_form_negative_risk,snapshot_form_positive_signal,snapshot_manual_scouting_available,snapshot_manual_research_only,snapshot_manual_confidence,snapshot_manual_effective_from,snapshot_manual_role_self_score,snapshot_manual_role_marker_score,snapshot_manual_solo_strength,snapshot_manual_escape_skill,snapshot_manual_makuri_skill,snapshot_manual_kamashi_skill,snapshot_manual_midpack_skill,snapshot_manual_marker_work_score,snapshot_manual_chigire_risk,snapshot_manual_chaos_upside,snapshot_final_role_self_score,snapshot_final_role_marker_score,snapshot_final_solo_strength,snapshot_final_escape_skill,snapshot_final_makuri_skill,snapshot_final_kamashi_skill,snapshot_final_midpack_skill,snapshot_final_marker_work_score,snapshot_final_chigire_risk,snapshot_final_chaos_upside,snapshot_strength_note,snapshot_weakness_note,snapshot_trend_note,snapshot_source_file
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:012757:1,012757,0,1,1,市本　隆司,1,7,0,0,0,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,88.31,6.07,54,両,0.64,0.21,0.6,A2,広　島,広島,72,0.26,0.42,0.63,0,2,5,1,1,3.93,,1.0,1,1,3,0,0.6,0.55,None,,,0,0,0,20260527-21-01,012757,2026-05-14,0,市本　隆司,1,弥彦,1,Ａ級予選,non_s,A2,54,両,87.93,0.25,0.43,0.62,0,2,4,1,1,1,1,10,3.4,0.3,0.4,0.6,11.5,0.3,0.0,1.0,0.0,0.0278,0.6071,0.1214,0.34,0.2518,0.5332,0.2916,0.45,0.205,0.315,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.0278,0.6071,0.1214,0.0,0.34,0.2518,0.2916,,,,data\raw\official\2026-05-14\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:015237:2,015237,0,2,2,太田　将成,1,1,1,1,1,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,82.4,3.1,30,逃,0.51,0.35,0.48,A2,宮　城,,113,0.11,0.18,0.44,0,3,1,1,2,3.92,,2.0,5,0,2,0,1.0,0.15,None,,,0,0,0,20260527-21-01,015237,2026-05-14,0,太田　将成,2,弥彦,1,Ａ級予選,non_s,A2,30,逃,81.5,0.12,0.16,0.41,0,2,1,1,2,1,1,10,4.3,0.1,0.3,0.4,12.2,0.2,0.0,0.0,0.1,0.05,0.275,0.215,0.2675,0.3715,0.2878,0.2197,0.3,0.29,0.24,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2878,0.05,0.275,0.215,0.0,0.2675,0.3715,0.2197,,,,data\raw\official\2026-05-14\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:014102:3,014102,0,3,3,篠塚　光一,1,4,0,0,0,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,83.09,2.71,45,追,0.46,0.11,0.4,A2,兵　庫,,90,0.09,0.23,0.28,0,0,4,1,0,3.93,,3.0,3,0,0,0,0.0,1.0,None,,,0,0,0,20260527-21-01,014102,2026-04-27,0,篠塚　光一,3,弥彦,1,Ａ級予選,non_s,A2,45,追,83.95,0.04,0.25,0.29,0,0,3,3,0,1,1,10,4.6,0.1,0.2,0.3,12.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.42,0.113,0.1175,0.205,0.3,0.1435,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.395,0.42,0.1175,,,,data\raw\official\2026-04-27\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:013736:4,013736,0,4,4,榊原　洋,1,5,0,0,0,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,82.84,1.64,48,追,0.41,0.14,0.37,A2,岡　山,玉野,85,0.04,0.12,0.24,0,0,1,2,0,3.92,,7.0,4,0,0,0,0.0,1.0,None,,,0,0,0,20260527-21-01,013736,2026-05-09,0,榊原　洋,4,弥彦,1,Ａ級予選,non_s,A2,48,追,83.68,0.05,0.15,0.26,0,0,1,2,0,1,1,10,4.7,0.1,0.1,0.2,12.81,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.385,0.4983,0.08,0.108,0.14,0.395,0.128,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.385,0.4983,0.108,,,,data\raw\official\2026-05-09\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:012760:5,012760,0,5,5,櫻井　宏智,1,2,0,1,1,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,86.18,3.31,56,追,0.51,0.14,0.46,A2,広　島,広島,72,0.1,0.25,0.42,0,0,5,2,0,3.92,,2.0,2,0,0,0,0.0,1.0,None,,,0,0,0,20260527-21-01,012760,2026-05-09,0,櫻井　宏智,5,弥彦,1,Ａ級予選,non_s,A2,56,追,86.47,0.09,0.18,0.36,0,0,2,2,0,1,1,10,4.7,0.0,0.0,0.3,11.88,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.325,0.448,0.123,0.211,0.18,0.38,0.216,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.325,0.448,0.211,,,,data\raw\official\2026-05-09\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:015534:6,015534,0,6,6,牛田　樹希斗,1,6,0,0,0,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,79.83,2.36,27,逃,0.46,0.36,0.41,A2,愛　知,豊橋,119,0.05,0.2,0.32,1,4,2,0,3,3.92,,0.0,7,0,1,1,1.0,0.15,None,,,0,0,0,20260527-21-01,015534,2026-05-14,0,牛田　樹希斗,6,弥彦,1,Ａ級予選,non_s,A2,27,逃,79.46,0.03,0.17,0.27,1,2,2,0,2,1,1,10,5.3,0.0,0.2,0.3,12.28,0.0,0.0,0.0,0.1,0.14,0.22,0.25,0.17,0.4323,0.21,0.1895,0.195,0.335,0.1665,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.22,0.25,0.0,0.17,0.4323,0.1895,,,,data\raw\official\2026-05-14\races.json
20260527-21-01,2026-05-27,弥彦,1,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-01:013690:7,013690,0,7,7,伊藤　大理,1,3,0,0,1,Ａ級予選,Ａ級予選,0,morning,7,10:45,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.083333,10,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0,0.0,0,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,80.5,1.21,49,追,0.4,0.11,0.35,A2,長　野,,85,0.0,0.11,0.22,0,0,0,1,0,3.92,,3.0,6,0,0,0,0.0,1.0,None,,,0,0,0,20260527-21-01,013690,2026-02-27,0,伊藤　大理,7,弥彦,1,Ａ級予選,non_s,A2,49,追,82.45,0.04,0.04,0.28,0,0,1,0,0,1,1,10,4.3,0.0,0.0,0.3,12.82,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.434,0.113,0.1175,0.17,0.34,0.119,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.25,0.434,0.1175,,,,data\raw\official\2026-02-27\races.json
20260527-21-02,2026-05-27,弥彦,2,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-02:013560:1,013560,0,1,1,小佐野　文秀,1,1,1,1,1,Ａ級予選,Ａ級予選,0,day,7,11:10,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.166667,11,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,12.0,7,14.0,3,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,86.0,2.75,50,追,0.47,0.11,0.43,A1,山　梨,,83,0.12,0.16,0.33,0,0,3,1,0,3.92,,12.0,1,1,0,0,0.0,1.0,None,,,0,0,0,20260527-21-02,013560,2026-05-13,0,小佐野　文秀,1,弥彦,2,Ａ級予選,non_s,A1,50,追,84.94,0.05,0.11,0.27,0,0,1,1,0,1,1,10,4.5,0.0,0.0,0.2,12.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.325,0.4545,0.08,0.108,0.125,0.27,0.1175,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.325,0.4545,0.108,,,,data\raw\official\2026-05-13\races.json
20260527-21-02,2026-05-27,弥彦,2,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-02:013363:2,013363,0,2,2,宇根　秀俊,1,4,0,0,0,Ａ級予選,Ａ級予選,0,day,7,11:10,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.166667,11,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,12.0,7,14.0,3,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,85.45,4.16,49,追,0.53,0.17,0.47,A1,愛　媛,松山,80,0.16,0.33,0.41,0,0,5,3,0,3.92,,2.0,2,0,0,0,0.0,1.0,None,,,0,0,0,20260527-21-02,013363,2026-05-06,0,宇根　秀俊,2,弥彦,2,Ａ級予選,non_s,A1,48,追,84.5,0.16,0.33,0.44,0,0,4,2,0,1,1,10,3.6,0.3,0.4,0.4,12.58,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.3347,0.172,0.1322,0.35,0.185,0.245,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.44,0.3347,0.1322,,,,data\raw\official\2026-05-06\races.json
20260527-21-02,2026-05-27,弥彦,2,rider_placement_v1,rider_placement_dataset_exporter_v1,20260527-21-02:013434:3,013434,0,3,3,石黒　健,1,7,0,0,0,Ａ級予選,Ａ級予選,0,day,7,11:10,0,non_s,race_category_non_s,1,qualifying,a_class,early,0.166667,11,400.0,0.0,63.1,32.404722,2.8625,0.15775,1.05,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,12.0,7,14.0,3,True,False,False,False,False,1,0,1,0,0,0,0,1,False,False,True,False,False,False,False,False,81.12,1.15,50,両,0.4,0.27,0.36,A1,広　島,広島,81,0.0,0.08,0.25,1,0,0,1,2,3.93,,0.0,6,0,3,0,0.6,0.55,None,,,0,0,0,20260527-21-02,013434,2026-05-10,0,石黒　健,3,弥彦,2,Ａ級予選,non_s,A1,50,両,81.5,0.0,0.11,0.22,1,0,0,1,2,1,1,10,4.4,0.0,0.1,0.3,12.79,0.4,1.0,0.0,0.1,0.575,0.0,0.24,0.235,0.4497,0.105,0.1618,0.2,0.385,0.17,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.575,0.0,0.24,0.0,0.235,0.4497,0.1618,,,,data\raw\official\2026-05-10\races.json
