race_id,formation,first_numbers,second_numbers,third_numbers,ticket,ticket_probability_estimate,placement_probability,probability_scope,formation_ticket_count,role_score_method
20260528-12-03,124-12-1234,124,12,1234,1-2-3,0.02212009775288987,0.02212009775288987,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,1-2-4,0.014564929136223556,0.014564929136223556,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,2-1-3,0.02020553996539735,0.02020553996539735,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,2-1-4,0.013304292821974428,0.013304292821974428,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,4-1-2,0.015074699854071913,0.015074699854071913,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,4-1-3,0.01864941920155529,0.01864941920155529,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,4-2-1,0.02628799107520666,0.02628799107520666,formation_incremental,8,incremental
20260528-12-03,124-12-1234,124,12,1234,4-2-3,0.021811507919901614,0.021811507919901614,formation_incremental,8,incremental
20260528-12-04,124-12-1235,124,12,1235,1-2-3,0.013841111461812662,0.013841111461812662,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,1-2-5,0.01739046639496097,0.01739046639496097,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,2-1-3,0.014342009828993614,0.014342009828993614,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,2-1-5,0.018019812979285812,0.018019812979285812,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-1-2,0.011419486257883268,0.011419486257883268,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-1-3,0.007992610983523397,0.007992610983523397,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-1-5,0.010042201675815163,0.010042201675815163,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-2-1,0.014815520602526281,0.014815520602526281,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-2-3,0.00774779557363928,0.00774779557363928,formation_incremental,10,incremental
20260528-12-04,124-12-1235,124,12,1235,4-2-5,0.009734606857992581,0.009734606857992581,formation_incremental,10,incremental
20260528-12-05,123-12-1234,123,12,1234,1-2-3,0.02080676997439713,0.02080676997439713,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,1-2-4,0.021653711330946603,0.021653711330946603,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,2-1-3,0.01881479355057233,0.01881479355057233,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,2-1-4,0.019580651335924317,0.019580651335924317,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,3-1-2,0.015427890446054927,0.015427890446054927,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,3-1-4,0.015958184181301845,0.015958184181301845,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,3-2-1,0.01434117764470601,0.01434117764470601,formation_incremental,8,incremental
20260528-12-05,123-12-1234,123,12,1234,3-2-4,0.015871119654987265,0.015871119654987265,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,1-3-2,0.01705137660081357,0.01705137660081357,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,1-3-5,0.016465215793312064,0.016465215793312064,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,2-1-3,0.015326713744342713,0.015326713744342713,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,2-1-5,0.012087003721951652,0.012087003721951652,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,2-3-1,0.018885123958279654,0.018885123958279654,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,2-3-5,0.012099842162541605,0.012099842162541605,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,3-1-2,0.011935246229126402,0.011935246229126402,formation_incremental,8,incremental
20260528-12-06,123-13-1235,123,13,1235,3-1-5,0.011524958325036578,0.011524958325036578,formation_incremental,8,incremental
20260528-12-07,135-12-1234,135,12,1234,1-2-3,0.02654446312525036,0.02654446312525036,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,1-2-4,0.017537869344437094,0.017537869344437094,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,3-1-2,0.01621090136055772,0.01621090136055772,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,3-1-4,0.007735553134892248,0.007735553134892248,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,3-2-1,0.008981850743328941,0.008981850743328941,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,3-2-4,0.007902230362631704,0.007902230362631704,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-1-2,0.017296748034022445,0.017296748034022445,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-1-3,0.0124923972204413,0.0124923972204413,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-1-4,0.008253699809904981,0.008253699809904981,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-2-1,0.009583477545829262,0.009583477545829262,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-2-3,0.012761569715311926,0.012761569715311926,formation_incremental,12,incremental
20260528-12-07,135-12-1234,135,12,1234,5-2-4,0.008431541494774722,0.008431541494774722,formation_incremental,12,incremental
20260528-12-08,123-12-1234,123,12,1234,1-2-3,0.024802271721408947,0.024802271721408947,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,1-2-4,0.03130137129999531,0.03130137129999531,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,2-1-3,0.007051846107976804,0.007051846107976804,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,2-1-4,0.008899686926084106,0.008899686926084106,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,3-1-2,0.030420680893522088,0.030420680893522088,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,3-1-4,0.019969284471193314,0.019969284471193314,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,3-2-1,0.019993303851624563,0.019993303851624563,formation_incremental,8,incremental
20260528-12-08,123-12-1234,123,12,1234,3-2-4,0.01944166333450813,0.01944166333450813,formation_incremental,8,incremental
20260528-12-09,126-12-1234,126,12,1234,1-2-3,0.01933853534049892,0.01933853534049892,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,1-2-4,0.012537413710375396,0.012537413710375396,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,2-1-3,0.01178415016175048,0.01178415016175048,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,2-1-4,0.007639811557685487,0.007639811557685487,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-1-2,0.008192684360802926,0.008192684360802926,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-1-3,0.009348963550308998,0.009348963550308998,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-1-4,0.006061049698421467,0.006061049698421467,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-2-1,0.015794042951619455,0.015794042951619455,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-2-3,0.014028892599954053,0.014028892599954053,formation_incremental,10,incremental
20260528-12-09,126-12-1234,126,12,1234,6-2-4,0.009095106083639433,0.009095106083639433,formation_incremental,10,incremental
20260528-37-01,234-23-2347,234,23,2347,2-3-4,0.024434115907009606,0.024434115907009606,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,2-3-7,0.01938491002629024,0.01938491002629024,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,3-2-4,0.021825637070289367,0.021825637070289367,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,3-2-7,0.017315462220290512,0.017315462220290512,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,4-2-3,0.014837253637199597,0.014837253637199597,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,4-2-7,0.01302606358523286,0.01302606358523286,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,4-3-2,0.01563828193903231,0.01563828193903231,formation_incremental,8,incremental
20260528-37-01,234-23-2347,234,23,2347,4-3-7,0.0144724337308348,0.0144724337308348,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,2-3-4,0.019794749458331255,0.019794749458331255,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,2-3-7,0.01704607631603169,0.01704607631603169,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,3-2-4,0.007733818349855661,0.007733818349855661,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,3-2-7,0.0066599104011635,0.0066599104011635,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,7-2-3,0.028266069611733734,0.028266069611733734,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,7-2-4,0.021619677986459477,0.021619677986459477,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,7-3-2,0.021521110204169438,0.021521110204169438,formation_incremental,8,incremental
20260528-37-02,237-23-2347,237,23,2347,7-3-4,0.022641345741209202,0.022641345741209202,formation_incremental,8,incremental
20260528-37-03,134-14-1245,134,14,1245,1-4-2,0.026431891553944743,0.026431891553944743,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,1-4-5,0.018671179432255346,0.018671179432255346,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-1-2,0.01571549334068246,0.01571549334068246,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-1-4,0.020228753144105778,0.020228753144105778,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-1-5,0.01110124091692199,0.01110124091692199,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-4-1,0.01612177880238358,0.01612177880238358,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-4-2,0.01862393673563622,0.01862393673563622,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,3-4-5,0.0131557313564318,0.0131557313564318,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,4-1-2,0.016529538804713674,0.016529538804713674,formation_incremental,10,incremental
20260528-37-03,134-14-1245,134,14,1245,4-1-5,0.011676273123524398,0.011676273123524398,formation_incremental,10,incremental
20260528-37-04,247-34-3457,247,34,3457,2-3-4,0.01135814505439495,0.01135814505439495,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,2-3-5,0.011762115164841602,0.011762115164841602,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,2-3-7,0.00925461462017339,0.00925461462017339,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,2-4-3,0.016058736628526898,0.016058736628526898,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,2-4-5,0.011302720538035693,0.011302720538035693,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,2-4-7,0.00889315580344837,0.00889315580344837,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,4-3-5,0.018349474215937536,0.018349474215937536,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,4-3-7,0.01443765087923258,0.01443765087923258,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,7-3-4,0.011861787648516035,0.011861787648516035,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,7-3-5,0.012283670591859109,0.012283670591859109,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,7-4-3,0.016770812740881963,0.016770812740881963,formation_incremental,12,incremental
20260528-37-04,247-34-3457,247,34,3457,7-4-5,0.011803905499588832,0.011803905499588832,formation_incremental,12,incremental
20260528-37-05,567-27-2347,567,27,2347,5-2-3,0.016615356378450095,0.016615356378450095,formation_incremental,14,incremental
20260528-37-05,567-27-2347,567,27,2347,5-2-4,0.01845277920518386,0.01845277920518386,formation_incremental,14,incremental
20260528-37-05,567-27-2347,567,27,2347,5-2-7,0.016132802417282866,0.016132802417282866,formation_incremental,14,incremental
20260528-37-05,567-27-2347,567,27,2347,5-7-2,0.022291806468931544,0.022291806468931544,formation_incremental,14,incremental
20260528-37-05,567-27-2347,567,27,2347,5-7-3,0.01360088816172026,0.01360088816172026,formation_incremental,14,incremental
